DATE,BAAFFM
1971-01-01,3.90
1972-01-01,3.72
1973-01-01,-0.49
1974-01-01,-1.01
1975-01-01,4.79
1976-01-01,4.70
1977-01-01,3.43
1978-01-01,1.56
1979-01-01,-0.50
1980-01-01,0.31
1981-01-01,-0.33
1982-01-01,3.86
1983-01-01,4.47
1984-01-01,3.97
1985-01-01,4.61
1986-01-01,3.59
1987-01-01,3.92
1988-01-01,3.26
1989-01-01,0.96
1990-01-01,2.26
1991-01-01,4.11
1992-01-01,5.46
1993-01-01,4.91
1994-01-01,4.42
1995-01-01,2.36
1996-01-01,2.76
1997-01-01,2.40
1998-01-01,1.87
1999-01-01,2.90
2000-01-01,2.13
2001-01-01,4.06
2002-01-01,6.14
2003-01-01,5.64
2004-01-01,5.04
2005-01-01,2.85
2006-01-01,1.52
2007-01-01,1.46
2008-01-01,5.52
2009-01-01,7.14
2010-01-01,5.86
2011-01-01,5.56
2012-01-01,4.80
2013-01-01,4.99
2014-01-01,4.77
2015-01-01,4.87
2016-01-01,4.32
